QuestionID,AnswerID,Answer Correct/Incorrect,TA Feedback,Student Response,Error Steps,Error Type,Syntax Correction,,Notes From Mich or Uzay,,Notes From Dev
F19_HW2_Q3_P1,34,0,Failed to provide valid proof. (3.1),"[""(pvq)v(pv~q)"",""pvqvpv~q"",""(pvq)v(qv~q)"",""TvF"",""T""]","1,2",Other,,,,,
F19_HW2_Q3_P1,460,0,Invalid simplification w/ the distributive property. (3.1),"[""(pvq)v(pv~q)"",""pv(pv~q"",""pvT"",""T""]","0,1",Syntax,"[""(pvq)v(pv~q)"",""pv(pv~q)"",""pvT"",""T""]",,,,
F19_HW2_Q3_P1,46,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""pv(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,275,1,,"[""(pvq)v(pv~q)"",""pvqvpv~q"",""pvpv(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,196,0,,"[""(pvq)v(pv~q)"",""pvqvqv~q"",""pvqv~q"",""T""]","0,1",Other,,,,,
F19_HW2_Q3_P1,182,0,Invalid simplification w/ the distributive property. (3.1),"[""(pvq)v(pv~q)"",""pv(qv~q)"",""pvT"",""T""]","0,1",Distributive,,,,,
F19_HW2_Q3_P1,160,0,Invalid simplification w/ the distributive property. (3.1),"[""(pvq)v(pv~q)"",""pv(qv~q)"",""pvT"",""T""]","0,1",Distributive,,,,,
F19_HW2_Q3_P1,89,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,176,1,,"[""(pvq)v(pv~q)"",""pvqvpv~q"",""pvpvqv~q"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,352,1,,"[""(pvq)v(pv~q)"",""(pvp)v(~qvq)"",""pv(~qvq)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,317,1,,"[""(pvq)v(pv~q)"",""pvqvpv~q"",""pvpvqv~q"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,222,1,,"[""(pvq)v(pv~q)"",""pv((qvp)v~q)"",""pv((pvq)v~q)"",""pv(pv(qv~q))"",""pv(pvT)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,416,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,402,1,,"[""(pvq)v(pv~q)"",""pv(pv(qv~q))"",""(pvp)v(qv~q)"",""pv(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,14,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""pv(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,91,1,,"[""(pvq)v(pv~q)"",""pvpvqv~q"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,129,0,Invalid simplification w/ the distributive property. (3.1),"[""(pvq)v(pv~q)"",""pv(qv~q)"",""pvT"",""T""]","0,1",Distributive,,,,,
F19_HW2_Q3_P1,315,0,,"[""(pvq)v(pv~q)"",""(pvq)v(~qvp)"",""pv(qv~q)vp"",""pvTvq"",""T""]","2,3",Other,,,,,Don't mix up your variables
F19_HW2_Q3_P1,232,0,Failed to explain/show simplification of the disjunction of p. (3.1),"[""(pvq)v(pv~q)"",""pv(qv~q)"",""pvT"",""T""]","0,1",Skipped Steps,,,,,
F19_HW2_Q3_P1,208,1,,"[""(pvq)v(~qvp)"",""pv(qv~q)vp"",""pvTvp"",""T""]",,,,,,,
F19_HW2_Q3_P1,54,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""pv(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,356,1,,"[""(pvq)v(pv~q)"",""av(pv~q)"",""(avp)v~q"",""(pvqvp)v~q"",""(qv(pvp))v~q"",""(qvp)v~q"",""pv(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,263,1,,"[""(pvq)v(pv~q)"",""(pvq)v(~qvp)"",""pv(qv~q)vp"",""pvTvp"",""T""]",,,,,,,
F19_HW2_Q3_P1,230,0,,"[""(pvq)v(pvq)"",""(pvp)v(qv~q)"",""pvT"",""T""]",0,Other,,,,,Forgot Negative in Question
F19_HW2_Q3_P1,271,1,,"[""(pvq)v(pv~q)"",""(pvq)v(~qvp)"",""((pvq)v~q)vp"",""pv(qv~q))vp"",""(pvT)vp"",""Tvp"",""T""]",,,,,,,
F19_HW2_Q3_P1,42,1,,"[""(pvq)v(pv~q)"",""pvqvpv~q"",""pvpvqv~q"",""pvqv~q"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,172,1,,"[""(pvq)v(pv~q)"",""pv((qv~q)vp)"",""pv(Tvp)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,133,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,170,0,Failed to explain/show simplification of the disjunction of p. (3.1),"[""(pvq)v(pv~q)"",""pv(qv~q)"",""pvT"",""T""]","0,1",Skipped Steps,,,,,
F19_HW2_Q3_P1,350,0,Failed to explain/show simplification of the disjunction of p. (3.1),"[""(pvq)v(pv~q)"",""pv(qv~q)"",""pvT"",""T""]","0,1",Skipped Steps,,,,,
F19_HW2_Q3_P1,436,1,,"[""(pvq)v(pv~q)"",""(pvq)v(~qvp)"",""pv(qv(~qvp))"",""pv((qv~q)vp)"",""pv(Tvp)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,394,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""(pvp)v(T)"",""T""]",,,,,,,
F19_HW2_Q3_P1,99,1,,"[""(pvq)v(~qvp)"",""pv((qvp)v~q)"",""pv(pv(qv~q)"",""pv(pvT)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,224,1,,"[""(pvq)v(pv~q)"",""(pvq)v(~qvp)"",""pv(qv~q)vp"",""pvTvp"",""pvpvT"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,390,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""(p)v(qv~q)"",""(p)v(T)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,426,0,Invalid simplifications. (3.1),"[""(pvq)v(pv~q)"",""(pvq)v(T)"",""(pvT)vq"",""Tvq"",""T""]","0,1",Other,,,,,
F19_HW2_Q3_P1,336,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""(pvp)vT"",""T""]",,,,,,,
F19_HW2_Q3_P1,446,1,,"[""(pvq)v(pv~q)"",""(qv~q)v(pvp)"",""Tvp"",""T""]",,,,,,,
F19_HW2_Q3_P1,430,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,143,1,,"[""(pvq)v(pv~q)"",""(pvq)v(~qvp)"",""(pvp)v(qv~q)"",""(pvp)vT"",""T""]",,,,,,,
F19_HW2_Q3_P1,428,1,,"[""(pvq)v(pv~q)"",""pv(qvp)v~q"",""pv(pvq)v~q"",""(pvp)v(qv~q)"",""(pvp)vT"",""T""]",,,,,,,
F19_HW2_Q3_P1,202,0,Failed to explain/show simplification of the disjunction of p. (3.1),"[""(pvq)v(pv~q)"",""pv(qv~q)"",""pvT"",""T""]","0,1",Skipped Steps,,,,,
F19_HW2_Q3_P1,422,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,145,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""(pvp)vT"",""T""]",,,,,,,
F19_HW2_Q3_P1,168,0,Failed to explain/show simplification of the disjunction of p. (3.1),"[""(pvq)v(pv~q)"",""pvqvpv~q"",""pvT"",""T""]","1,2",Skipped Steps,,,,,
F19_HW2_Q3_P1,52,0,Failed to explain/show simplification of the disjunction of p. (3.1),"[""(pvq)v(pv~q)"",""pvqvpv~q"",""pvqv~q"",""pv(qv~q)"",""pvT"",""T""]","1,2",Skipped Steps,,,,,
F19_HW2_Q3_P1,30,1,,"[""(pvq)v(pv~q)"",""pvqvpv~q"",""(qv~q)v(pvp)"",""Tvp"",""T""]",,,,,,,
F19_HW2_Q3_P1,400,1,,"[""(pvq)v(pv~q)"",""pvpv(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,139,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,330,1,,"[""(pvq)v(pv~q)"",""(pvqvpv~q)"",""pvpvqv~q"",""pvpvT"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,382,0,Failed to explain/show simplification of the disjunction of p. (3.1),"[""(pvq)v(pv~q)"",""pvqvpv~q"",""(pvT)"",""T""]","1,2",Skipped Steps,,,,,
F19_HW2_Q3_P1,78,1,,"[""(pvq)v(pv~q)"",""pvqvpv~q"",""pvpvqv~q"",""(pvp)v(qv~q)"",""pvT"",""(pvT)"",""T""]",,,,,,,
F19_HW2_Q3_P1,32,0,Failed to explain/show simplification of the disjunction of p. (3.1),"[""(pvq)^(pv~q)"",""pv(qv~q)"",""pvT"",""T""]",0,Other,,,,,Be careful when rewriting the question and of skipping steps!
F19_HW2_Q3_P1,113,0,Unclear simplifications. (3.1),"[""(pvq)v(pv~q)"",""pvqvpv~q"",""pvT"",""T""]","0,1",Skipped Steps,,,,,
F19_HW2_Q3_P1,50,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""(pvp)vT"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,257,0,Unclear/Invalid simplifications. (3.1),"[""(pvq)v(pv~q)"",""Tv(q->p)"",""Tv(~qv(p))"",""TvT""]","2,3",Implication,,,,,Skipped Steps and review Implication
F19_HW2_Q3_P1,432,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,26,0,Invalid simplification w/ the distributive property. (3.1),"[""(pvq)v(pv~q)"",""pv(qv~q)"",""pv(T)"",""T""]","0,1",Skipped Steps,,,,,
F19_HW2_Q3_P1,440,1,,"[""(pvq)v(pv~q)"",""pvqvpv~q"",""(pvp)v(qv~q)"",""(pvp)vT"",""T""]",,,,,,,
F19_HW2_Q3_P1,321,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""(pvp)vT"",""T""]",,,,,,,
F19_HW2_Q3_P1,80,0,Invalid simplification w/ disjunction and indempotence. (3.1),"[""pvq=T"",""pv~q=T"",""TvT"",""T""]",0,Negation,,,,,
F19_HW2_Q3_P1,406,0,Failed to explain/show simplification of the disjunction of p. (3.1),"[""(pvq)v(pv~q)"",""pvqvpv~q"",""pvT"",""T""]","1,2",Skipped Steps,,,,,
F19_HW2_Q3_P1,251,0,Invalid simplification w/ the distributive property. (3.1),"[""(pvq)v(pv~q)"",""pv(qv~q)"",""pvT"",""T""]","1,2",Distributive,,,,,
F19_HW2_Q3_P1,117,1,,"[""(pvq)v(pv~q)"",""pvpvqv~q"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,60,0,Failed to explain/show simplification of the disjunction of p. (3.1),"[""(pvq)v(pv~q)"",""pv(qv~q)"",""pv(T)"",""T""]","1,2",Skipped Steps,,,,,
F19_HW2_Q3_P1,121,1,,"[""(pvq)v(pv~q)"",""pvqvpv~q"",""(pvp)v(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,255,1,,"[""(pvq)v(pv~q)"",""pvqvpv~q"",""(pvp)v(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,420,0,Invalid simplification w/ the distributive property; unknowingly used idempotent property. (3.1) Invalid conclusion reached. (3.2),"[""(pvq)v(pv~q)"",""((pvq)vp)v((pvq)v~q)"",""((pvq)vp)v(pv(qv~q))"",""((pvq)vp)v(pvT))"",""((pvq)vp)vT"",""T""]","2,3",Syntax,"[""(pvq)v(pv~q)"",""((pvq)vp)v((pvq)v~q)"",""((pvq)vp)v(pv(qv~q))"",""((pvq)vp)v(pvT)"",""((pvq)vp)vT"",""T""]",,,,Still Errors with DIstributive
F19_HW2_Q3_P1,296,0,Failed to explain/show simplification of the disjunction of p. (3.1),"[""(pvq)v(pv~q)"",""(p)v(qv~q)"",""(p)vT"",""T""]","0,1",Skipped Steps,,,,,
F19_HW2_Q3_P1,228,0,,"[""(pvq)v(pv~q)"",""pvpvqv~q"",""T""]","0,1",Skipped Steps,,,,,Make sure you restate the problem as the first line
F19_HW2_Q3_P1,388,1,,"[""(pvq)v(pv~q)"",""(pvp)v(qv~q)"",""pvT"",""T""]",,,,,,,
F19_HW2_Q3_P1,141,1,,"[""(pvq)v(pv~q)"",""pvpv(qv~q)"",""pv(pvT)"",""pvT"",""T""]",,,,,,,
