QuestionID,AnswerID,Answer Correct/Incorrect,TA Feedback,Student Response,Error Steps,Error Type,Syntax Correction,,Notes From Mich or Uzay,,Notes From Dev
S19_HW2_Q3_P2,585,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""(~(p^~r)^~(q^~r)^(~p^~q))->r"",""~((p^~r)v(q^~r)v(~p^~q))->r"",""((p^~r)v(q^~r)v(~pv~q))vr"",""(rv(p^~r))v(rv(q^~r))v(rv(~pv~q))"",""((pvr)^(rv~r))v((qvr)^(rv~r))v((~pvr)^(~qvr))"",""((pvr)^(T))v((qvr)^(T))v((~pvr)^(~qvr))"",""(pvr)v(qvr)v((~pvr)^(~qvr))"",""pvqvrv((~pvr)^(~qvr))"",""pvrvqv((~pvr)^(~qvr))"",""pvrv((qv(~pvr))^(qv(~qvr)))"",""pvrv((qv(~pvr))^((qv~q)vr))"",""pvrv((qv(~pvr))^(Tvr))"",""pvrv((qv(~pvr))^T)"",""rv(pv(qv(~pvr))^T)"",""rv(rv(qv(~pvp))^T)"",""rv(T^T)"",""rvT"",""T""]",,,,,,,
S19_HW2_Q3_P2,545,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))vr"",""~(~pvr)v~(~qvr)v~(pvq)vr"",""(p^~r)v(q^~r)v(~pv~q)vr"",""rv(p^~r)v(q^~r)v(~p^~q)"",""((rvp)^(rv~r))v(q^~r)v(~pv~q)"",""(rvp)v(qv~r)v(~pv~q)"",""pv((rvq)^(rv~r))v(~pv~q)"",""pv(rvq)v(~p^~q)"",""(rvq)vpv(~pv~q)"",""(rvq)v((pv~p)^(pv~q))"",""(rvq)v(pv~q)"",""rvpv(qv~q)"",""T""]",,,,,,,Remember to put the question
S19_HW2_Q3_P2,506,0,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((~p^~q)vr)^(pvq)->r"",""(~(pvq)vr)^(pvq)-r"",""(~(pvq)^(pvq))v(r^(pvq)->r"",""Fv(r^(pvq))->r"",""(r^(pvq))->r"",""~(r^(pvq))vr"",""~rv~(pvq)vr"",""(~rvr)v~(pvq)"",""Tv~(pvq)"",""T""]","3,4",Syntax,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((~p^~q)vr)^(pvq)->r"",""(~(pvq)vr)^(pvq)-r"",""(~(pvq)^(pvq))vr^(pvq)->r"",""Fv(r^(pvq))->r"",""(r^(pvq))->r"",""~(r^(pvq))vr"",""~rv~(pvq)vr"",""(~rvr)v~(pvq)"",""Tv~(pvq)"",""T""]",,,,
S19_HW2_Q3_P2,567,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((p^~r)v(q^~r)v(~p^~q))vr"",""((pvq)^(pv~r)^(~rvq)^(~rv~r)v(~pv~q))vr"",""((pvq)^~rv(~pv~q))vr"",""(~r^p)v(~r^q)v(~pv~q)vr"",""~rvr"",""T""]",,,,,,,
S19_HW2_Q3_P2,625,0,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~vr)^(pvq))->r"",""((rv~p)^(~qvr)^(pvq))->r"",""(((rv(~p^~q))^(pvq))->r"",""((rv~(pvq))^(pvq))->r"",""(r^(pvq)v(~(pvq)^(pvq))->r"",""(r^(pvq)vF)->r"",""(r^(pvq))->r"",""~(r^(pvq))vr"",""~rv~(pvq)vr"",""~rv(~pv~q)vr"",""(~rvr)v(~pv~q)"",""Tv~(pvq)"",""T""]","4,5",Syntax,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~vr)^(pvq))->r"",""((rv~p)^(~qvr)^(pvq))->r"",""(((rv(~p^~q))^(pvq))->r"",""((rv~(pvq))^(pvq))->r"",""r^(pvq)v(~(pvq)^(pvq))->r"",""(r^(pvq)vF)->r"",""(r^(pvq))->r"",""~(r^(pvq))vr"",""~rv~(pvq)vr"",""~rv(~pv~q)vr"",""(~rvr)v(~pv~q)"",""Tv~(pvq)"",""T""]",,,,Remember all of your variables
S19_HW2_Q3_P2,480,0,,"[""((p->r)^(q->r)^(pvq))->r"",""pvq/p^pvq/q"",""pp->/r^qq->r/r"",""r""]","0,1",Inference,,,,,
S19_HW2_Q3_P2,534,1,,"[""((p->r)^(q->r)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))vr"",""(p^~r)v(q^~r)v(~pv~q)vr"",""~r^(pvq)v(~p^~q)vr"",""~(rv~(pvq))v~(pvq)vr"",""~(rv~(pvq))v(rv~(pvq))"",""~mvm"",""T""]",,,,,,,
S19_HW2_Q3_P2,539,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))vr"",""(~(~pvr)v~(qvr)v~(pvq))vr"",""(p^~r)v(q^~r)v(~p^~q)vr"",""(p^~r)v(q^~r)v~(pvq)vr"",""~^(pvq)v~(pvq)vr"",""(~r^s)v~svr"",""(~r^s)v~(~r^s)"",""wv~w"",""T""]",,,,,,,
S19_HW2_Q3_P2,553,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))vr"",""~(~pvr)v~(~qvr)v~(pvq)vr"",""(p^~r)v(q^~r)v(~pv~q)vr"",""(p^~r)v(q^~r)v((~pvr)^(~qvr))"",""(p^~r)v(q^~r)v(~(p^~r)^~(q^~r))"",""((p^~r)v(q^~r))v~((p^~r)v(q^~r))"",""T""]",,,,,,,
S19_HW2_Q3_P2,635,1,,"[""((p->r)^(q->r)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))vr"",""(~(~pvr)v~(~qvr)v~(pvq))vr"",""((~~p^r)v~(~qvr)v~(pvq))vr"",""((~r^p)v(~r^q)v(~p^~q))vr"",""((~r^(pvq))v(~p^~q))vr"",""(rv(~r^(pvq)))v(~p^~q)"",""((rv~r)^(rv(pvq)))v(~p^~q)"",""((T)^(rv(pvq)))v(~pv~q)"",""(~p^~q)v((T)^(rv(pvq)))"",""((~p^~q)v(T))^((~pv~q)v(rv(pvq)))"",""((~p^~q)v(T))^(~Bv(rvB))"",""((~pv~q)v(T))^((~BvB)vr)"",""((~pv~q)v(T))^((T)vr)"",""((C)vT)^(T)"",""(T)^(T)"",""T""]",,,,,,,
